gml_id,expected_deaths_bin_mean,probability,building_type,num_occupants,volume
DEBY_LOD2_59990,6.32952238756771e-05,0.001679999999999998,2,17.0,3753.0666486622263
DEBY_LOD2_59990,7.666355113487514e-05,0.0016399999999999922,2,17.0,3753.0666486622263
DEBY_LOD2_59990,8.845120826086631e-05,0.001999999999999989,2,17.0,3753.0666486622263
DEBY_LOD2_59990,9.930916057812573e-05,0.0021600000000000304,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.00011398921089975539,0.0023999999999999816,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.00014278822403093823,0.01871999999999989,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.00018442848558724776,0.19007999999999967,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.00022341501723256035,0.25271999999999817,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.0002593812009637841,0.2368800000000023,2,17.0,3753.0666486622263
DEBY_LOD2_59990,0.0003106487342481309,0.2917200000000001,2,17.0,3753.0666486622263
DEBY_LOD2_59991,7.545479564832388e-05,0.0016399999999999948,2,19.0,4123.457725132745
DEBY_LOD2_59991,9.02483793682142e-05,0.0016799999999999946,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.00010296327373285119,0.0018800000000000106,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.00011666934193594171,0.002200000000000021,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.00013330961265580117,0.0024799999999999688,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.0001665293471686492,0.003119999999999998,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.0002233017652358352,0.20567999999999956,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.00026815996015538865,0.2527199999999981,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.00030619143744429073,0.22908000000000137,2,19.0,4123.457725132745
DEBY_LOD2_59991,0.0003642990870333127,0.29952000000000095,2,19.0,4123.457725132745
DEBY_LOD2_59995,2.430597306014585e-06,0.002119999999999986,2,1.0,702.9188948826942
DEBY_LOD2_59995,4.5809449411436355e-06,0.19788000000000008,2,1.0,702.9188948826942
DEBY_LOD2_59995,7.243565781019653e-06,0.0021199999999999856,2,1.0,702.9188948826942
DEBY_LOD2_59995,1.0930686180341731e-05,0.017559999999999933,2,1.0,702.9188948826942
DEBY_LOD2_59995,1.3932721816705651e-05,0.08823999999999994,2,1.0,702.9188948826942
DEBY_LOD2_59995,1.6260118379443364e-05,0.09604000000000015,2,1.0,702.9188948826942
DEBY_LOD2_59995,1.9907252926626923e-05,0.03335999999999941,2,1.0,702.9188948826942
DEBY_LOD2_59995,2.3630553381175823e-05,0.1198799999999992,2,1.0,702.9188948826942
DEBY_LOD2_59995,3.0149236315532517e-05,0.17448000000000058,2,1.0,702.9188948826942
DEBY_LOD2_59995,4.220755677202849e-05,0.2683200000000009,2,1.0,702.9188948826942
DEBY_LOD2_59996,3.2704082072237957e-06,0.002119999999999986,2,4.0,1294.775875333845
DEBY_LOD2_59996,6.699109398202812e-06,0.1508399999999986,2,4.0,1294.775875333845
DEBY_LOD2_59996,9.809451142211634e-06,0.04916000000000146,2,4.0,1294.775875333845
DEBY_LOD2_59996,1.4709451477180852e-05,0.001880000000000014,2,4.0,1294.775875333845
DEBY_LOD2_59996,1.948224009551444e-05,0.08027999999999985,2,4.0,1294.775875333845
DEBY_LOD2_59996,2.263966250898137e-05,0.07267999999999868,2,4.0,1294.775875333845
DEBY_LOD2_59996,2.7175097609166714e-05,0.04900000000000145,2,4.0,1294.775875333845
DEBY_LOD2_59996,3.373099022917107e-05,0.12783999999999904,2,4.0,1294.775875333845
DEBY_LOD2_59996,4.436454957051768e-05,0.19788,2,4.0,1294.775875333845
DEBY_LOD2_59996,6.281210596546216e-05,0.26832000000000095,2,4.0,1294.775875333845
DEBY_LOD2_60000,1.4589969802501396e-06,0.002119999999999986,2,1.0,250.44358897334203
DEBY_LOD2_60000,2.3833444797400148e-06,0.19788000000000003,2,1.0,250.44358897334203
DEBY_LOD2_60000,4.348042587967677e-06,0.002119999999999985,2,1.0,250.44358897334203
DEBY_LOD2_60000,6.279447202621771e-06,0.0646000000000008,2,1.0,250.44358897334203
DEBY_LOD2_60000,7.895260807102443e-06,0.11164000000000039,2,1.0,250.44358897334203
DEBY_LOD2_60000,9.44496672035838e-06,0.05699999999999821,2,1.0,250.44358897334203
DEBY_LOD2_60000,1.1292577817106267e-05,0.049040000000000576,2,1.0,250.44358897334203
DEBY_LOD2_60000,1.3297422953202677e-05,0.1118000000000011,2,1.0,250.44358897334203
DEBY_LOD2_60000,1.5851284547622015e-05,0.12767999999999863,2,1.0,250.44358897334203
DEBY_LOD2_60000,2.1859529887264728e-05,0.27612000000000025,2,1.0,250.44358897334203
DEBY_LOD2_60007,2.809242984265642e-05,0.001759999999999995,2,10.0,3105.0466391147183
DEBY_LOD2_60007,3.818956639990104e-05,0.001959999999999993,2,10.0,3105.0466391147183
DEBY_LOD2_60007,4.589245808825361e-05,0.002080000000000008,2,10.0,3105.0466391147183
DEBY_LOD2_60007,5.4263567239841157e-05,0.0020799999999999894,2,10.0,3105.0466391147183
DEBY_LOD2_60007,6.326545434775039e-05,0.03343999999999936,2,10.0,3105.0466391147183
DEBY_LOD2_60007,7.380456623645734e-05,0.0964799999999997,2,10.0,3105.0466391147183
DEBY_LOD2_60007,8.830344198178116e-05,0.13548000000000163,2,10.0,3105.0466391147183
DEBY_LOD2_60007,0.00010977071665692014,0.21371999999999916,2,10.0,3105.0466391147183
